timestamp,status,value
2025-06-08T14:43:24.166331,Omuz hizası bozuk,25.16
2025-06-08T14:43:24.210864,Dik Durma,174.77
2025-06-08T14:43:24.242390,Dik Durma,174.17
2025-06-08T14:43:24.272039,Dik Durma,173.55
2025-06-08T14:43:24.304642,Dik Durma,173.63
2025-06-08T14:43:24.335319,Dik Durma,173.30
2025-06-08T14:43:24.367753,Dik Durma,172.86
2025-06-08T14:43:24.398897,Dik Durma,172.75
2025-06-08T14:43:24.430772,Dik Durma,172.79
2025-06-08T14:43:24.458983,Dik Durma,172.85
2025-06-08T14:43:24.491551,Dik Durma,172.87
2025-06-08T14:43:24.522554,Dik Durma,172.82
2025-06-08T14:43:24.552551,Dik Durma,172.78
2025-06-08T14:43:24.584064,Dik Durma,172.79
2025-06-08T14:43:24.616078,Dik Durma,172.78
2025-06-08T14:43:24.649084,Dik Durma,172.60
2025-06-08T14:43:24.678106,Dik Durma,172.48
2025-06-08T14:43:24.723195,Dik Durma,172.39
2025-06-08T14:43:24.773198,Dik Durma,172.41
2025-06-08T14:43:24.802359,Dik Durma,172.37
2025-06-08T14:43:24.835360,Dik Durma,172.28
2025-06-08T14:43:24.866366,Dik Durma,172.31
2025-06-08T14:43:24.897933,Dik Durma,172.32
2025-06-08T14:43:24.929931,Dik Durma,172.43
2025-06-08T14:43:24.961290,Dik Durma,172.41
2025-06-08T14:43:24.994811,Dik Durma,172.48
2025-06-08T14:43:25.024810,Dik Durma,172.68
2025-06-08T14:43:25.053810,Dik Durma,172.58
2025-06-08T14:43:25.084324,Dik Durma,172.66
2025-06-08T14:43:25.115324,Dik Durma,172.81
2025-06-08T14:43:25.147379,Dik Durma,172.92
2025-06-08T14:43:25.177082,Dik Durma,173.21
2025-06-08T14:43:25.210083,Dik Durma,173.24
2025-06-08T14:43:25.242083,Dik Durma,173.79
2025-06-08T14:43:25.273087,Dik Durma,173.93
2025-06-08T14:43:25.303594,Dik Durma,174.14
2025-06-08T14:43:25.332595,Dik Durma,174.44
2025-06-08T14:43:25.367604,Dik Durma,174.52
2025-06-08T14:43:25.407368,Dik Durma,174.75
2025-06-08T14:43:25.462374,Dik Durma,174.82
2025-06-08T14:43:25.489287,Dik Durma,174.84
2025-06-08T14:43:25.523826,Dik Durma,174.83
2025-06-08T14:43:25.555049,Dik Durma,174.87
2025-06-08T14:43:25.585658,Dik Durma,174.91
2025-06-08T14:43:25.616658,Dik Durma,174.99
2025-06-08T14:43:25.648674,Dik Durma,174.97
2025-06-08T14:43:25.678381,Dik Durma,174.80
2025-06-08T14:43:25.715382,Dik Durma,174.89
2025-06-08T14:43:25.749384,Dik Durma,175.00
2025-06-08T14:43:25.770391,Dik Durma,174.98
2025-06-08T14:43:25.806903,Dik Durma,174.94
2025-06-08T14:43:25.833169,Dik Durma,175.09
2025-06-08T14:43:25.873176,Dik Durma,175.50
2025-06-08T14:43:25.899979,Dik Durma,175.60
2025-06-08T14:43:25.933619,Dik Durma,175.73
2025-06-08T14:43:25.964623,Dik Durma,175.54
2025-06-08T14:43:25.999054,Dik Durma,175.26
2025-06-08T14:43:26.030054,Dik Durma,175.04
2025-06-08T14:43:26.061059,Dik Durma,174.65
2025-06-08T14:43:26.094612,Dik Durma,174.53
2025-06-08T14:43:26.124077,Dik Durma,174.44
2025-06-08T14:43:26.178843,Dik Durma,174.37
2025-06-08T14:43:26.211843,Dik Durma,174.38
2025-06-08T14:43:26.241843,Dik Durma,174.57
2025-06-08T14:43:26.274848,Dik Durma,174.80
2025-06-08T14:43:26.304177,Dik Durma,174.92
2025-06-08T14:43:26.334178,Dik Durma,175.12
2025-06-08T14:43:26.364183,Dik Durma,175.28
2025-06-08T14:43:26.394738,Dik Durma,175.29
2025-06-08T14:43:26.433786,Dik Durma,175.26
2025-06-08T14:43:26.464791,Dik Durma,175.29
2025-06-08T14:43:26.498019,Dik Durma,175.29
2025-06-08T14:43:26.522638,Dik Durma,175.22
2025-06-08T14:43:26.552199,Dik Durma,175.17
2025-06-08T14:43:26.586722,Dik Durma,175.26
2025-06-08T14:43:26.618722,Dik Durma,175.26
2025-06-08T14:43:26.654727,Dik Durma,175.21
2025-06-08T14:43:26.683747,Dik Durma,175.11
2025-06-08T14:43:26.719747,Dik Durma,175.02
2025-06-08T14:43:26.751183,Dik Durma,174.96
2025-06-08T14:43:26.778702,Dik Durma,174.92
2025-06-08T14:43:26.802742,Dik Durma,175.03
2025-06-08T14:43:26.835744,Dik Durma,174.90
2025-06-08T14:43:26.867748,Dik Durma,174.95
2025-06-08T14:43:26.896788,Dik Durma,174.93
2025-06-08T14:43:26.929356,Dik Durma,174.93
2025-06-08T14:43:26.963839,Dik Durma,174.92
2025-06-08T14:43:26.995062,Dik Durma,174.81
2025-06-08T14:43:27.058063,Dik Durma,174.78
2025-06-08T14:43:27.083576,Dik Durma,174.76
2025-06-08T14:43:27.119577,Dik Durma,174.74
2025-06-08T14:43:27.150079,Dik Durma,174.71
2025-06-08T14:43:27.179100,Dik Durma,174.99
2025-06-08T14:43:27.210345,Dik Durma,174.95
2025-06-08T14:43:27.247364,Dik Durma,174.94
2025-06-08T14:43:27.276370,Dik Durma,174.80
