timestamp,status,value
2025-05-16T16:28:11.663630,Dik Durma,170.44
2025-05-16T16:28:11.720335,Dik Durma,170.63
2025-05-16T16:28:11.769466,Dik Durma,170.76
2025-05-16T16:28:11.795228,Dik Durma,170.75
2025-05-16T16:28:11.829290,Dik Durma,170.76
2025-05-16T16:28:11.864523,Dik Durma,170.75
2025-05-16T16:28:11.889370,Dik Durma,170.76
2025-05-16T16:28:11.919772,Dik Durma,170.75
2025-05-16T16:28:11.952560,Dik Durma,170.74
2025-05-16T16:28:11.982037,Dik Durma,170.53
2025-05-16T16:28:12.014102,Dik Durma,170.44
2025-05-16T16:28:12.053867,Dik Durma,170.33
2025-05-16T16:28:12.077040,Dik Durma,170.30
2025-05-16T16:28:12.141017,Dik Durma,170.06
2025-05-16T16:28:13.912624,Arkaya Yaslanma,169.94
2025-05-16T16:28:15.685091,Arkaya Yaslanma,169.19
2025-05-16T16:28:15.738623,Dik Durma,171.07
2025-05-16T16:28:15.770176,Dik Durma,171.64
2025-05-16T16:28:15.804137,Dik Durma,172.82
2025-05-16T16:28:15.827174,Dik Durma,173.07
2025-05-16T16:28:15.868573,Dik Durma,172.11
2025-05-16T16:28:15.932623,Dik Durma,172.60
2025-05-16T16:28:16.009147,Dik Durma,172.86
2025-05-16T16:28:16.048248,Dik Durma,173.07
2025-05-16T16:28:16.079159,Dik Durma,173.24
2025-05-16T16:28:16.135108,Dik Durma,173.31
2025-05-16T16:28:16.177142,Dik Durma,173.34
2025-05-16T16:28:16.203174,Dik Durma,173.59
2025-05-16T16:28:17.970153,Omuz hizası bozuk,27.34
2025-05-16T16:28:18.015225,Dik Durma,175.65
2025-05-16T16:28:18.072014,Dik Durma,174.96
2025-05-16T16:28:18.113388,Dik Durma,174.52
2025-05-16T16:28:18.150399,Dik Durma,173.55
2025-05-16T16:28:18.174764,Dik Durma,173.73
2025-05-16T16:28:18.216452,Dik Durma,173.91
2025-05-16T16:28:18.271489,Dik Durma,173.70
2025-05-16T16:28:18.296735,Dik Durma,173.80
2025-05-16T16:28:18.334862,Dik Durma,173.50
2025-05-16T16:28:18.398919,Dik Durma,173.26
2025-05-16T16:28:18.456227,Dik Durma,173.23
2025-05-16T16:28:18.494510,Dik Durma,172.82
2025-05-16T16:28:18.556532,Dik Durma,172.55
2025-05-16T16:28:18.582254,Dik Durma,172.48
2025-05-16T16:28:18.620267,Dik Durma,172.23
2025-05-16T16:28:18.673089,Dik Durma,172.07
2025-05-16T16:28:18.704338,Dik Durma,171.86
2025-05-16T16:28:18.737172,Dik Durma,171.66
2025-05-16T16:28:18.768241,Dik Durma,171.52
2025-05-16T16:28:18.800292,Dik Durma,171.48
2025-05-16T16:28:18.833344,Dik Durma,171.81
2025-05-16T16:28:18.861907,Dik Durma,172.19
2025-05-16T16:28:18.895058,Dik Durma,171.82
2025-05-16T16:28:18.923426,Dik Durma,171.62
2025-05-16T16:28:18.960116,Dik Durma,171.75
2025-05-16T16:28:19.023125,Dik Durma,171.85
2025-05-16T16:28:19.083043,Dik Durma,172.20
2025-05-16T16:28:19.149348,Dik Durma,172.24
2025-05-16T16:28:19.174893,Dik Durma,172.29
2025-05-16T16:28:19.223239,Dik Durma,172.82
2025-05-16T16:28:19.274607,Dik Durma,172.97
2025-05-16T16:28:19.328941,Dik Durma,172.43
2025-05-16T16:28:19.359467,Dik Durma,171.99
2025-05-16T16:28:19.392985,Dik Durma,172.16
2025-05-16T16:28:19.423496,Dik Durma,172.35
2025-05-16T16:28:19.454865,Dik Durma,172.33
2025-05-16T16:28:19.488132,Dik Durma,172.33
2025-05-16T16:28:19.520478,Dik Durma,172.08
2025-05-16T16:28:19.546472,Dik Durma,171.94
2025-05-16T16:28:19.580834,Dik Durma,171.95
2025-05-16T16:28:19.612138,Dik Durma,171.99
2025-05-16T16:28:19.643166,Dik Durma,172.06
2025-05-16T16:28:19.673702,Dik Durma,172.16
2025-05-16T16:28:19.707478,Dik Durma,172.34
2025-05-16T16:28:19.733744,Dik Durma,172.58
2025-05-16T16:28:19.776974,Dik Durma,172.75
2025-05-16T16:28:21.577057,Omuz hizası bozuk,25.88
2025-05-16T16:28:21.632369,Dik Durma,173.28
2025-05-16T16:28:21.657418,Dik Durma,172.99
2025-05-16T16:28:21.706450,Dik Durma,173.03
2025-05-16T16:28:21.755047,Dik Durma,173.07
2025-05-16T16:28:21.781158,Dik Durma,172.80
2025-05-16T16:28:21.817906,Dik Durma,172.51
2025-05-16T16:28:21.843597,Dik Durma,172.11
2025-05-16T16:28:21.880112,Dik Durma,171.85
2025-05-16T16:28:21.906239,Dik Durma,171.75
2025-05-16T16:28:21.941806,Dik Durma,171.80
2025-05-16T16:28:21.967491,Dik Durma,171.84
2025-05-16T16:28:21.999341,Dik Durma,171.53
2025-05-16T16:28:22.030156,Dik Durma,171.50
2025-05-16T16:28:22.062220,Dik Durma,171.67
2025-05-16T16:28:22.108180,Dik Durma,171.46
2025-05-16T16:28:22.157528,Dik Durma,171.38
2025-05-16T16:28:22.188318,Dik Durma,171.35
2025-05-16T16:28:22.217561,Dik Durma,171.39
2025-05-16T16:28:22.248370,Dik Durma,171.37
2025-05-16T16:28:22.280781,Dik Durma,171.35
2025-05-16T16:28:22.314708,Dik Durma,171.39
2025-05-16T16:28:22.347141,Dik Durma,171.40
2025-05-16T16:28:22.379218,Dik Durma,171.40
