timestamp,status,value
2025-06-22T17:06:48.459595,Boyun Öne Eğik,121.16
2025-06-22T17:06:48.510115,Dik Durma,174.28
2025-06-22T17:06:48.596010,Dik Durma,174.66
2025-06-22T17:06:48.649518,Dik Durma,174.60
2025-06-22T17:06:48.675519,Dik Durma,174.79
2025-06-22T17:06:48.713657,Dik Durma,174.95
2025-06-22T17:06:48.740661,Dik Durma,174.87
2025-06-22T17:06:48.766175,Dik Durma,174.95
2025-06-22T17:06:48.805233,Dik Durma,175.05
2025-06-22T17:06:48.870255,Dik Durma,175.09
2025-06-22T17:06:48.943767,Dik Durma,175.14
2025-06-22T17:06:48.970769,Dik Durma,175.05
2025-06-22T17:06:49.009281,Dik Durma,175.01
2025-06-22T17:06:49.073406,Dik Durma,174.92
2025-06-22T17:06:49.098060,Dik Durma,174.94
2025-06-22T17:06:49.136098,Dik Durma,175.03
2025-06-22T17:06:49.162426,Dik Durma,175.12
2025-06-22T17:06:49.190814,Dik Durma,174.95
2025-06-22T17:06:49.229343,Dik Durma,174.61
2025-06-22T17:06:49.292376,Dik Durma,174.17
2025-06-22T17:06:49.318287,Dik Durma,173.90
2025-06-22T17:06:49.351420,Dik Durma,174.13
2025-06-22T17:06:50.955531,Boyun Öne Eğik,139.74
2025-06-22T17:06:52.566042,Boyun Öne Eğik,134.27
2025-06-22T17:06:54.183621,Boyun Öne Eğik,132.90
2025-06-22T17:06:54.217629,Dik Durma,175.47
2025-06-22T17:06:54.244636,Dik Durma,175.61
2025-06-22T17:06:54.271948,Dik Durma,175.56
2025-06-22T17:06:54.299750,Dik Durma,175.55
2025-06-22T17:06:54.331145,Dik Durma,175.52
2025-06-22T17:06:54.359445,Dik Durma,175.51
2025-06-22T17:06:54.394007,Dik Durma,175.48
2025-06-22T17:06:54.427084,Dik Durma,175.43
2025-06-22T17:06:54.457099,Dik Durma,175.39
2025-06-22T17:06:54.486334,Dik Durma,175.30
2025-06-22T17:06:54.521853,Dik Durma,175.16
2025-06-22T17:06:54.549852,Dik Durma,175.14
2025-06-22T17:06:54.584959,Dik Durma,175.09
2025-06-22T17:06:54.611491,Dik Durma,175.03
2025-06-22T17:06:54.654977,Dik Durma,174.95
2025-06-22T17:06:54.719503,Dik Durma,174.96
2025-06-22T17:06:54.746510,Dik Durma,174.96
2025-06-22T17:06:54.773021,Dik Durma,174.97
2025-06-22T17:06:54.798423,Dik Durma,175.04
2025-06-22T17:06:54.843423,Dik Durma,175.05
2025-06-22T17:06:54.903935,Dik Durma,175.03
2025-06-22T17:06:54.965582,Dik Durma,174.99
2025-06-22T17:06:55.030129,Dik Durma,175.09
2025-06-22T17:06:55.092642,Dik Durma,175.16
2025-06-22T17:06:55.154658,Dik Durma,175.42
2025-06-22T17:06:55.181682,Dik Durma,175.33
2025-06-22T17:06:55.208488,Dik Durma,175.28
2025-06-22T17:06:55.234828,Dik Durma,175.32
2025-06-22T17:06:56.855727,Boyun Öne Eğik,139.36
2025-06-22T17:06:56.881758,Dik Durma,175.56
2025-06-22T17:06:56.910293,Dik Durma,175.51
2025-06-22T17:06:56.950815,Dik Durma,175.45
2025-06-22T17:06:57.014326,Dik Durma,175.46
2025-06-22T17:06:57.038330,Dik Durma,175.45
2025-06-22T17:06:57.062839,Dik Durma,175.46
2025-06-22T17:06:57.108411,Dik Durma,175.42
2025-06-22T17:06:57.160106,Dik Durma,175.76
2025-06-22T17:06:57.199618,Dik Durma,175.80
2025-06-22T17:06:57.261643,Dik Durma,175.79
