timestamp,status,value
2025-06-08T14:40:52.937089,Dik Durma,174.65
2025-06-08T14:40:52.989983,Dik Durma,173.71
2025-06-08T14:40:53.041658,Dik Durma,173.24
2025-06-08T14:40:53.073473,Dik Durma,173.04
2025-06-08T14:40:53.100379,Dik Durma,172.96
2025-06-08T14:40:53.132089,Dik Durma,172.92
2025-06-08T14:40:53.166919,Dik Durma,172.84
2025-06-08T14:40:53.193170,Dik Durma,172.80
2025-06-08T14:40:53.229876,Dik Durma,172.73
2025-06-08T14:40:53.260397,Dik Durma,172.72
2025-06-08T14:40:53.297884,Dik Durma,172.61
2025-06-08T14:40:53.356105,Dik Durma,172.53
2025-06-08T14:40:53.387824,Dik Durma,172.47
2025-06-08T14:40:53.410656,Dik Durma,172.44
2025-06-08T14:40:53.443200,Dik Durma,172.36
2025-06-08T14:40:53.474613,Dik Durma,172.29
2025-06-08T14:40:53.503639,Dik Durma,172.31
2025-06-08T14:40:53.537216,Dik Durma,172.33
2025-06-08T14:40:53.568986,Dik Durma,172.33
2025-06-08T14:40:53.600638,Dik Durma,172.34
2025-06-08T14:40:53.636498,Dik Durma,172.47
2025-06-08T14:40:53.664784,Dik Durma,172.58
2025-06-08T14:40:53.696250,Dik Durma,172.83
2025-06-08T14:40:53.723459,Dik Durma,172.94
2025-06-08T14:40:53.763078,Dik Durma,173.13
2025-06-08T14:40:53.787291,Dik Durma,173.23
2025-06-08T14:40:53.826105,Dik Durma,173.10
2025-06-08T14:40:53.849090,Dik Durma,172.89
2025-06-08T14:40:53.889310,Dik Durma,172.40
2025-06-08T14:40:53.947519,Dik Durma,172.18
2025-06-08T14:40:53.985590,Dik Durma,172.43
2025-06-08T14:40:54.043323,Dik Durma,172.84
2025-06-08T14:40:54.079846,Dik Durma,173.04
2025-06-08T14:40:54.138990,Dik Durma,173.19
2025-06-08T14:40:54.160590,Dik Durma,173.20
2025-06-08T14:40:54.223525,Dik Durma,173.05
2025-06-08T14:40:54.256147,Dik Durma,173.00
2025-06-08T14:40:54.303277,Dik Durma,172.86
2025-06-08T14:40:54.349576,Dik Durma,172.99
2025-06-08T14:40:56.171668,Omuz hizası bozuk,27.53
2025-06-08T14:40:56.223712,Dik Durma,174.22
2025-06-08T14:40:56.257680,Dik Durma,174.64
2025-06-08T14:40:56.287573,Dik Durma,174.00
2025-06-08T14:40:56.319756,Dik Durma,172.74
2025-06-08T14:40:56.348042,Dik Durma,172.56
2025-06-08T14:40:56.380065,Dik Durma,172.25
2025-06-08T14:40:56.414632,Dik Durma,172.45
2025-06-08T14:40:56.442198,Dik Durma,172.54
2025-06-08T14:40:56.476868,Dik Durma,173.17
2025-06-08T14:40:56.510689,Dik Durma,173.14
2025-06-08T14:40:56.536958,Dik Durma,173.20
2025-06-08T14:40:56.577738,Dik Durma,173.22
2025-06-08T14:40:56.631390,Dik Durma,173.14
2025-06-08T14:40:56.661941,Dik Durma,172.99
2025-06-08T14:40:56.706367,Dik Durma,173.07
2025-06-08T14:40:56.787306,Dik Durma,173.15
2025-06-08T14:40:56.830098,Dik Durma,173.20
2025-06-08T14:40:56.882984,Dik Durma,173.30
2025-06-08T14:40:56.913511,Dik Durma,173.58
2025-06-08T14:40:56.946562,Dik Durma,173.78
2025-06-08T14:40:56.978876,Dik Durma,173.86
2025-06-08T14:40:57.008486,Dik Durma,173.93
2025-06-08T14:40:57.043006,Dik Durma,173.90
2025-06-08T14:40:57.074721,Dik Durma,173.99
2025-06-08T14:40:57.105318,Dik Durma,174.03
2025-06-08T14:40:57.137142,Dik Durma,174.03
2025-06-08T14:40:57.168250,Dik Durma,174.05
2025-06-08T14:40:57.201777,Dik Durma,173.95
2025-06-08T14:40:57.222987,Dik Durma,173.89
2025-06-08T14:40:57.262863,Dik Durma,173.56
2025-06-08T14:40:57.313501,Dik Durma,173.63
2025-06-08T14:40:57.354704,Dik Durma,173.67
2025-06-08T14:40:57.381928,Dik Durma,173.82
2025-06-08T14:40:57.420016,Dik Durma,173.88
2025-06-08T14:40:57.441202,Dik Durma,173.85
2025-06-08T14:40:57.482018,Dik Durma,173.35
2025-06-08T14:40:57.504592,Dik Durma,173.04
2025-06-08T14:40:57.536799,Dik Durma,173.02
2025-06-08T14:40:57.569180,Dik Durma,173.01
2025-06-08T14:40:57.603856,Dik Durma,172.99
2025-06-08T14:40:57.633528,Dik Durma,172.95
2025-06-08T14:40:57.666925,Dik Durma,172.97
2025-06-08T14:40:57.717267,Dik Durma,173.00
2025-06-08T14:40:57.760869,Dik Durma,172.98
2025-06-08T14:40:57.796159,Dik Durma,172.79
2025-06-08T14:40:57.825894,Dik Durma,172.67
2025-06-08T14:40:57.852461,Dik Durma,172.55
2025-06-08T14:40:57.885244,Dik Durma,172.33
2025-06-08T14:40:57.918303,Dik Durma,172.19
2025-06-08T14:40:57.947838,Dik Durma,171.99
2025-06-08T14:40:57.979123,Dik Durma,171.86
2025-06-08T14:40:58.011715,Dik Durma,171.80
2025-06-08T14:40:58.043343,Dik Durma,171.77
2025-06-08T14:40:58.076639,Dik Durma,171.77
2025-06-08T14:40:58.113148,Dik Durma,171.87
2025-06-08T14:40:58.161547,Dik Durma,171.98
2025-06-08T14:40:58.194597,Dik Durma,172.03
2025-06-08T14:40:58.225328,Dik Durma,172.06
2025-06-08T14:40:58.256435,Dik Durma,172.08
2025-06-08T14:40:58.288557,Dik Durma,172.12
2025-06-08T14:40:58.320109,Dik Durma,172.17
2025-06-08T14:40:58.354690,Dik Durma,172.18
2025-06-08T14:40:58.385205,Dik Durma,172.18
2025-06-08T14:40:58.416384,Dik Durma,172.21
2025-06-08T14:40:58.448566,Dik Durma,172.31
2025-06-08T14:40:58.475102,Dik Durma,172.37
2025-06-08T14:40:58.507525,Dik Durma,172.41
2025-06-08T14:40:58.540688,Dik Durma,172.14
2025-06-08T14:40:58.570784,Dik Durma,172.22
2025-06-08T14:40:58.604659,Dik Durma,172.28
2025-06-08T14:40:58.633447,Dik Durma,172.37
2025-06-08T14:40:58.664901,Dik Durma,172.57
2025-06-08T14:40:58.696964,Dik Durma,172.74
2025-06-08T14:40:58.725832,Dik Durma,172.80
2025-06-08T14:40:58.757854,Dik Durma,172.91
2025-06-08T14:40:58.788728,Dik Durma,173.03
2025-06-08T14:40:58.819616,Dik Durma,173.20
2025-06-08T14:40:58.849312,Dik Durma,173.52
2025-06-08T14:40:58.882255,Dik Durma,173.63
2025-06-08T14:40:58.914887,Dik Durma,173.97
