timestamp,status,value
2025-06-22T15:16:29.220932,Omuz hizası bozuk,25.45
2025-06-22T15:16:29.249939,Dik Durma,173.62
2025-06-22T15:16:29.312515,Dik Durma,174.28
2025-06-22T15:16:29.339514,Dik Durma,174.44
2025-06-22T15:16:29.407575,Dik Durma,174.40
2025-06-22T15:16:29.467267,Dik Durma,174.24
2025-06-22T15:16:29.494784,Dik Durma,174.08
2025-06-22T15:16:29.519779,Dik Durma,174.00
2025-06-22T15:16:29.559783,Dik Durma,174.04
2025-06-22T15:16:29.623337,Dik Durma,174.07
2025-06-22T15:16:29.682866,Dik Durma,174.13
2025-06-22T15:16:29.746865,Dik Durma,174.18
2025-06-22T15:16:29.774870,Dik Durma,174.46
2025-06-22T15:16:29.801908,Dik Durma,174.58
2025-06-22T15:16:29.833443,Dik Durma,174.65
2025-06-22T15:16:29.864379,Dik Durma,174.73
2025-06-22T15:16:29.894015,Dik Durma,174.83
2025-06-22T15:16:29.933022,Dik Durma,175.04
2025-06-22T15:16:29.960471,Dik Durma,175.06
2025-06-22T15:16:29.989990,Dik Durma,175.06
2025-06-22T15:16:30.018987,Dik Durma,175.05
2025-06-22T15:16:30.057989,Dik Durma,175.06
2025-06-22T15:16:30.120649,Dik Durma,175.05
2025-06-22T15:16:30.184312,Dik Durma,175.08
2025-06-22T15:16:30.210414,Dik Durma,175.15
2025-06-22T15:16:30.235412,Dik Durma,175.13
2025-06-22T15:16:30.275812,Dik Durma,175.03
2025-06-22T15:16:30.337322,Dik Durma,175.07
2025-06-22T15:16:30.399346,Dik Durma,174.94
2025-06-22T15:16:30.424352,Dik Durma,174.98
2025-06-22T15:16:30.461884,Dik Durma,174.95
2025-06-22T15:16:30.525411,Dik Durma,174.94
2025-06-22T15:16:30.550046,Dik Durma,174.82
2025-06-22T15:16:30.588688,Dik Durma,174.70
2025-06-22T15:16:30.613688,Dik Durma,174.58
2025-06-22T15:16:30.651701,Dik Durma,174.34
2025-06-22T15:16:30.714414,Dik Durma,174.18
2025-06-22T15:16:30.738641,Dik Durma,174.20
2025-06-22T15:16:30.776420,Dik Durma,174.18
2025-06-22T15:16:30.839790,Dik Durma,174.30
2025-06-22T15:16:30.871809,Dik Durma,174.56
2025-06-22T15:16:30.899852,Dik Durma,174.73
2025-06-22T15:16:30.935863,Dik Durma,174.98
2025-06-22T15:16:30.967882,Dik Durma,175.05
2025-06-22T15:16:30.994397,Dik Durma,175.29
2025-06-22T15:16:31.027400,Dik Durma,175.40
2025-06-22T15:16:31.074403,Dik Durma,175.56
2025-06-22T15:16:31.118596,Dik Durma,175.78
2025-06-22T15:16:31.145612,Dik Durma,175.91
2025-06-22T15:16:31.183743,Dik Durma,176.12
